accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause,total_injure,total_dead
2016-10-24,07:50:50,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-24,12:40:40,อุดรรัถยา,normal,0,0,0,0,Change lane instantly,0,0
2016-10-25,00:15:15,เฉลิมมหานคร,rain,0,0,0,0,Off limit speed,0,0
2016-10-25,08:52:52,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-10-26,05:14:14,ศรีรัช,rain,0,0,0,0,Off limit speed,0,0
2016-10-26,11:24:24,บูรพาวิถี,normal,1,0,0,0,car/road condition,1,0
2016-10-27,14:30:30,บูรพาวิถี,rain,2,0,0,0,Off limit speed,2,0
2016-10-27,17:44:44,บูรพาวิถี,normal,1,1,0,0,Off limit speed,2,0
2016-10-28,23:48:48,ศรีรัช,normal,0,1,0,0,Off limit speed,1,0
2016-10-28,17:38:38,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-28,02:49:49,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,Change lane instantly,0,0
2016-10-28,22:58:58,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-10-28,16:57:57,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-10-28,09:33:33,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-28,22:36:36,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2016-10-28,22:57:57,บางพลี-สุขสวัสดิ์,normal,0,1,0,0,Off limit speed,1,0
2016-10-29,01:38:38,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-10-29,05:15:15,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Off limit speed,0,0
2016-10-30,17:45:45,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-10-31,18:00:00,เฉลิมมหานคร,normal,0,2,0,0,Off limit speed,2,0
2016-10-31,15:45:45,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-10-31,20:39:39,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-11-01,18:17:17,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-11-01,11:02:02,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-11-02,11:20:20,ฉลองรัช,normal,1,0,0,0,Off limit speed,1,0
2016-11-02,15:45:45,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-11-02,13:00:00,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-02,09:39:39,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-02,20:10:10,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-03,14:22:22,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-11-03,07:15:15,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-11-03,06:42:42,ฉลองรัช,normal,2,1,0,0,Off limit speed,3,0
2016-11-03,23:45:45,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-11-03,19:57:57,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-04,08:23:23,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-04,23:40:40,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-11-05,22:35:35,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-05,11:45:45,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-05,08:23:23,ศรีรัช,normal,1,0,0,0,Off limit speed,1,0
2016-11-05,14:13:13,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-06,06:40:40,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Change lane instantly,1,0
2016-11-06,23:40:40,S1,normal,0,0,0,0,car/road condition,0,0
2016-11-07,07:05:05,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-07,06:05:05,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,car/road condition,0,0
2016-11-07,13:02:02,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-07,18:25:25,อุดรรัถยา,rain,0,0,0,0,car/road condition,0,0
2016-11-08,10:00:00,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-08,02:54:54,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-08,03:15:15,เฉลิมมหานคร,rain,3,2,0,0,Off limit speed,5,0
2016-11-09,15:42:42,ฉลองรัช,normal,2,0,0,0,car/road condition,2,0
2016-11-09,21:50:50,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-11-09,17:48:48,ฉลองรัช,normal,0,0,0,0,car/road condition,0,0
2016-11-10,09:46:46,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,car/road condition,0,0
2016-11-10,21:28:28,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-11-11,14:24:24,ศรีรัช,normal,0,2,0,0,Change lane instantly,2,0
2016-11-11,10:13:13,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-11,08:48:48,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-12,07:46:46,ฉลองรัช,normal,2,0,0,0,Change lane instantly,2,0
2016-11-12,12:35:35,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-12,18:45:45,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-12,21:24:24,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
2016-11-13,18:21:21,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-11-14,12:29:29,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-14,16:22:22,บูรพาวิถี,normal,1,2,0,0,car/road condition,3,0
2016-11-14,03:56:56,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-11-14,07:05:05,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-11-15,10:08:08,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2016-11-15,09:39:39,ศรีรัช-วงแหวนรอบนอก,normal,0,1,0,0,Off limit speed,1,0
2016-11-15,06:13:13,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-15,16:33:33,ศรีรัช,normal,0,1,0,0,Off limit speed,1,0
2016-11-15,18:41:41,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Change lane instantly,0,0
2016-11-16,10:42:42,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Off limit speed,1,0
2016-11-16,11:50:50,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2016-11-17,19:40:40,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-17,18:14:14,บูรพาวิถี,normal,0,2,0,0,Off limit speed,2,0
2016-11-18,00:01:01,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,car/road condition,0,0
2016-11-18,03:12:12,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,doze off,0,0
2016-11-18,00:08:08,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-11-18,21:32:32,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-19,05:15:15,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-19,18:47:47,เฉลิมมหานคร,normal,2,0,0,0,Off limit speed,2,0
2016-11-19,14:00:00,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-19,08:58:58,บางพลี-สุขสวัสดิ์,normal,0,1,0,0,Change lane instantly,1,0
2016-11-20,00:55:55,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-11-20,22:00:00,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,car/road condition,0,0
2016-11-20,23:00:00,เฉลิมมหานคร,normal,0,1,0,0,car/road condition,1,0
2016-11-20,06:00:00,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-20,22:23:23,ฉลองรัช,normal,1,1,0,0,Off limit speed,2,0
2016-11-20,01:23:23,ศรีรัช,normal,1,0,0,0,Off limit speed,1,0
2016-11-21,08:45:45,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-21,20:33:33,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-11-21,08:30:30,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Change lane instantly,0,0
2016-11-21,11:17:17,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
2016-11-22,13:00:00,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Off limit speed,1,0
2016-11-22,13:24:24,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-22,04:07:07,บูรพาวิถี,normal,0,1,0,0,Off limit speed,1,0
2016-11-23,10:54:54,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-23,12:19:19,ศรีรัช,normal,1,0,0,0,Off limit speed,1,0
2016-11-23,19:05:05,อุดรรัถยา,normal,1,1,0,0,Change lane instantly,2,0
2016-11-23,18:23:23,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-23,15:16:16,บางพลี-สุขสวัสดิ์,rain,1,0,0,0,Off limit speed,1,0
2016-11-24,15:03:03,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-24,19:52:52,ศรีรัช,rain,0,0,0,0,Off limit speed,0,0
2016-11-24,01:26:26,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
2016-11-25,13:56:56,อุดรรัถยา,normal,0,0,0,0,Change lane instantly,0,0
2016-11-26,02:20:20,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-11-26,11:35:35,อุดรรัถยา,normal,2,0,0,0,car/road condition,2,0
2016-11-29,13:44:44,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-11-29,06:37:37,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-11-29,22:20:20,เฉลิมมหานคร,normal,1,0,0,0,Change lane instantly,1,0
2016-12-01,10:59:59,ทางหลวงพิเศษหมายเลข 37,normal,2,0,0,0,Off limit speed,2,0
2016-12-01,06:10:10,ฉลองรัช,normal,3,1,0,0,Off limit speed,4,0
2016-12-01,19:20:20,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
2016-12-01,09:55:55,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
2016-12-01,09:33:33,ทางหลวงพิเศษหมายเลข 37,normal,0,1,0,0,Off limit speed,1,0
2016-12-01,18:05:05,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-01,00:09:09,ฉลองรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-12-02,21:57:57,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-02,22:12:12,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-12-02,18:43:43,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-12-02,08:12:12,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-12-03,10:43:43,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-12-03,04:24:24,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Change lane instantly,0,0
2016-12-03,04:13:13,ศรีรัช,normal,0,0,0,0,doze off,0,0
2016-12-03,00:43:43,ฉลองรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-12-03,12:35:35,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,car/road condition,0,0
2016-12-03,21:22:22,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2016-12-05,01:23:23,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-06,16:57:57,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-12-06,02:49:49,เฉลิมมหานคร,normal,3,0,1,0,Change lane instantly,3,1
2016-12-07,20:18:18,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2016-12-07,14:34:34,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,Off limit speed,0,0
2016-12-08,02:07:07,บูรพาวิถี,normal,1,1,0,0,Off limit speed,2,0
2016-12-08,19:48:48,ฉลองรัช,normal,0,1,0,0,Off limit speed,1,0
2016-12-08,16:04:04,ศรีรัช-วงแหวนรอบนอก,normal,0,1,0,0,Off limit speed,1,0
2016-12-08,18:52:52,ทางหลวงพิเศษหมายเลข 37,normal,1,3,0,0,car/road condition,4,0
2016-12-08,23:50:50,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Off limit speed,0,0
2016-12-08,21:03:03,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-12-09,14:48:48,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-09,14:19:19,ทางหลวงพิเศษหมายเลข 37,normal,0,1,0,0,car/road condition,1,0
2016-12-09,19:11:11,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-10,06:36:36,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Off limit speed,1,0
2016-12-11,00:46:46,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-11,05:25:25,ทางหลวงพิเศษหมายเลข 37,normal,0,1,0,0,Change lane instantly,1,0
2016-12-11,17:44:44,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-12-11,01:08:08,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-11,22:05:05,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
2016-12-12,09:42:42,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-12,01:49:49,ศรีรัช,normal,4,0,0,0,Change lane instantly,4,0
2016-12-12,02:00:00,เฉลิมมหานคร,normal,0,1,0,0,Off limit speed,1,0
2016-12-13,17:58:58,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-12-14,11:21:21,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-12-14,16:19:19,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-12-14,01:51:51,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-12-14,20:21:21,อุดรรัถยา,normal,0,1,0,0,Change lane instantly,1,0
2016-12-15,10:30:30,เฉลิมมหานคร,normal,0,2,0,0,Change lane instantly,2,0
2016-12-16,20:23:23,อุดรรัถยา,normal,0,0,0,0,Off limit speed,0,0
2016-12-16,15:58:58,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-16,14:19:19,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Change lane instantly,0,0
2016-12-16,19:33:33,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-12-16,18:03:03,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-12-17,14:40:40,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-12-17,20:50:50,ศรีรัช,normal,1,1,0,0,Change lane instantly,2,0
2016-12-18,00:08:08,เฉลิมมหานคร,normal,0,0,0,0,Change lane instantly,0,0
2016-12-19,14:32:32,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-12-19,14:08:08,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-12-19,15:53:53,บูรพาวิถี,normal,0,0,1,0,Off limit speed,0,1
2016-12-20,08:26:26,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Off limit speed,0,0
2016-12-20,16:40:40,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-12-20,03:26:26,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,doze off,0,0
2016-12-20,14:22:22,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Off limit speed,1,0
2016-12-21,23:05:05,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2016-12-22,01:20:20,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Off limit speed,1,0
2016-12-23,11:23:23,เฉลิมมหานคร,normal,0,1,0,0,Change lane instantly,1,0
2016-12-23,17:22:22,เฉลิมมหานคร,normal,0,0,0,0,Off limit speed,0,0
2016-12-23,20:34:34,เฉลิมมหานคร,normal,0,0,0,0,car/road condition,0,0
2016-12-24,04:28:28,อุดรรัถยา,normal,0,0,0,0,Change lane instantly,0,0
2016-12-24,05:11:11,ศรีรัช,normal,0,1,0,0,doze off,1,0
2016-12-24,14:44:44,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2016-12-25,08:39:39,อุดรรัถยา,normal,0,0,0,0,Change lane instantly,0,0
2016-12-25,13:08:08,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2016-12-25,10:04:04,บูรพาวิถี,normal,1,0,0,0,Off limit speed,1,0
2016-12-25,18:45:45,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2016-12-26,14:50:50,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-27,12:35:35,ฉลองรัช,normal,1,0,0,0,Off limit speed,1,0
2016-12-27,00:08:08,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-27,01:22:22,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2016-12-27,04:16:16,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,car/road condition,0,0
2016-12-27,08:46:46,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,Off limit speed,1,0
2016-12-27,20:15:15,บางพลี-สุขสวัสดิ์,normal,0,1,0,0,Off limit speed,1,0
2016-12-28,17:27:27,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,Off limit speed,0,0
2016-12-29,10:46:46,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,doze off,0,0
2016-12-29,20:18:18,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Change lane instantly,0,0
2016-12-29,10:20:20,บูรพาวิถี,normal,1,0,0,0,Off limit speed,1,0
2016-12-30,15:20:20,เฉลิมมหานคร,normal,0,0,0,0,car/road condition,0,0
2016-12-31,22:50:50,บูรพาวิถี,normal,1,3,0,0,car/road condition,4,0
2016-12-31,15:33:33,บางพลี-สุขสวัสดิ์,normal,1,3,0,0,Off limit speed,4,0
2017-01-01,20:46:46,เฉลิมมหานคร,normal,1,0,0,0,car/road condition,1,0
2017-01-02,12:54:54,ศรีรัช,normal,0,1,0,0,Off limit speed,1,0
2017-01-04,12:21:21,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Off limit speed,0,0
2017-01-04,08:25:25,บางพลี-สุขสวัสดิ์,normal,1,0,0,0,car/road condition,1,0
2017-01-04,10:19:19,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2017-01-04,09:30:30,บูรพาวิถี,normal,0,1,0,0,Off limit speed,1,0
2017-01-06,16:44:44,อุดรรัถยา,normal,0,0,0,0,doze off,0,0
2017-01-07,15:03:03,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,car/road condition,0,0
2017-01-08,06:50:50,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2017-01-08,14:20:20,บูรพาวิถี,normal,1,0,0,0,car/road condition,1,0
2017-01-08,07:55:55,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2017-01-09,01:19:19,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2017-01-09,09:57:57,ศรีรัช-วงแหวนรอบนอก,normal,0,0,0,0,Off limit speed,0,0
2017-01-09,12:10:10,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2017-01-09,22:10:10,เฉลิมมหานคร,rain,0,0,0,0,Off limit speed,0,0
2017-01-10,16:08:08,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,car/road condition,0,0
2017-01-10,11:36:36,ศรีรัช,normal,0,0,0,0,Change lane instantly,0,0
2017-01-10,06:55:55,บูรพาวิถี,rain,0,0,0,0,Off limit speed,0,0
2017-01-10,22:55:55,ฉลองรัช,normal,0,0,0,0,car/road condition,0,0
2017-01-10,02:25:25,ศรีรัช,rain,1,0,0,0,Change lane instantly,1,0
2017-01-11,00:52:52,บูรพาวิถี,normal,1,0,0,0,doze off,1,0
2017-01-11,18:30:30,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2017-01-12,04:15:15,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2017-01-12,21:29:29,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2017-01-12,20:40:40,ฉลองรัช,normal,0,0,0,0,Off limit speed,0,0
2017-01-12,11:40:40,บูรพาวิถี,normal,0,0,0,0,Off limit speed,0,0
2017-01-12,16:44:44,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2017-01-13,21:36:36,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2017-01-13,10:14:14,ทางหลวงพิเศษหมายเลข 37,normal,0,0,0,0,Off limit speed,0,0
2017-01-14,19:04:04,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2017-01-14,00:10:10,ศรีรัช,normal,0,0,0,0,Off limit speed,0,0
2017-01-14,17:40:40,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2017-01-14,09:30:30,เฉลิมมหานคร,normal,0,0,0,0,car/road condition,0,0
2017-01-14,14:14:14,บางพลี-สุขสวัสดิ์,normal,0,0,0,0,Off limit speed,0,0
2017-01-14,09:56:56,ศรีรัช,normal,0,0,0,0,car/road condition,0,0
2017-01-15,05:30:30,บูรพาวิถี,normal,0,0,0,0,car/road condition,0,0
